,embedding method,dimension,clustering method,modularity,permanence
0,../datasets/embedding_results/dolphin_sparse_nb.txt,1.0,kmeans,0.384043352715,0.117377327985
1,../datasets/embedding_results/dolphin_sparse_nb.txt,1.0,agglomerative,0.365017206598,0.0707172531769
2,../datasets/embedding_results/dolphin_sparse_nb.txt,2.0,kmeans,0.434456706618,0.161621529702
3,../datasets/embedding_results/dolphin_sparse_nb.txt,2.0,agglomerative,0.453047743365,0.179751781729
4,../datasets/embedding_results/dolphin_sparse_nb.txt,3.0,kmeans,0.447055100668,0.186631687145
5,../datasets/embedding_results/dolphin_sparse_nb.txt,3.0,agglomerative,0.489260709624,0.125714255683
6,../datasets/embedding_results/dolphin_sparse_nb.txt,4.0,kmeans,0.48101340928,0.250261536191
7,../datasets/embedding_results/dolphin_sparse_nb.txt,4.0,agglomerative,0.513725722875,0.233046703845
8,../datasets/embedding_results/dolphin_sparse_nb.txt,5.0,kmeans,0.47092678296,0.219534356748
9,../datasets/embedding_results/dolphin_sparse_nb.txt,5.0,agglomerative,0.501107551125,0.20430633543
10,../datasets/embedding_results/dolphin_sparse_nb.txt,6.0,kmeans,0.476780981765,0.211130381944
11,../datasets/embedding_results/dolphin_sparse_nb.txt,6.0,agglomerative,0.490783592421,0.222095434049
12,../datasets/embedding_results/dolphin_sparse_nb.txt,7.0,kmeans,0.445195996994,0.15881047824
13,../datasets/embedding_results/dolphin_sparse_nb.txt,7.0,agglomerative,0.510047070923,0.221914317472
14,../datasets/embedding_results/dolphin_sparse_nb.txt,8.0,kmeans,0.510047070923,0.221914317472
15,../datasets/embedding_results/dolphin_sparse_nb.txt,8.0,agglomerative,0.510047070923,0.221914317472
16,../datasets/embedding_results/dolphin_sparse_nb.txt,9.0,kmeans,0.379514259721,0.13620186648
17,../datasets/embedding_results/dolphin_sparse_nb.txt,9.0,agglomerative,0.481666073336,0.18068628533
18,../datasets/embedding_results/dolphin_sparse_nb.txt,10.0,kmeans,0.387662671572,0.132055794679
19,../datasets/embedding_results/dolphin_sparse_nb.txt,10.0,agglomerative,0.404196827657,0.0975575867941
20,../datasets/embedding_results/dolphin_sparse_nb.txt,20.0,kmeans,0.367153198054,0.119746281944
21,../datasets/embedding_results/dolphin_sparse_nb.txt,20.0,agglomerative,0.335825323365,0.0996420150166
22,../datasets/embedding_results/dolphin_sparse_nb.txt,30.0,kmeans,0.370297852142,0.131786724086
23,../datasets/embedding_results/dolphin_sparse_nb.txt,30.0,agglomerative,0.0884063130414,0.0752080039281
24,../datasets/embedding_results/dolphin_sparse_nb.txt,40.0,kmeans,0.29599303825,0.110812300198
25,../datasets/embedding_results/dolphin_sparse_nb.txt,40.0,agglomerative,0.105296467703,0.0733602281924
26,../datasets/embedding_results/dolphin_sparse_nb.txt,50.0,kmeans,0.11142755429,0.074547785721
27,../datasets/embedding_results/dolphin_sparse_nb.txt,50.0,agglomerative,0.0971678335509,0.0773969346355
28,../datasets/embedding_results/dolphin_sparse_ua.txt,1.0,kmeans,0.315849847712,-0.0426878370069
29,../datasets/embedding_results/dolphin_sparse_ua.txt,1.0,agglomerative,0.278984217396,-0.111265699304
30,../datasets/embedding_results/dolphin_sparse_ua.txt,2.0,kmeans,0.40073573039,0.0820007436488
31,../datasets/embedding_results/dolphin_sparse_ua.txt,2.0,agglomerative,0.416419445433,0.122043667686
32,../datasets/embedding_results/dolphin_sparse_ua.txt,3.0,kmeans,0.501681104387,0.250146177097
33,../datasets/embedding_results/dolphin_sparse_ua.txt,3.0,agglomerative,0.474862544994,0.235454435653
34,../datasets/embedding_results/dolphin_sparse_ua.txt,4.0,kmeans,0.479213638701,0.219556690924
35,../datasets/embedding_results/dolphin_sparse_ua.txt,4.0,agglomerative,0.467465685693,0.189238105374
36,../datasets/embedding_results/dolphin_sparse_ua.txt,5.0,kmeans,0.524722123334,0.270833389642
37,../datasets/embedding_results/dolphin_sparse_ua.txt,5.0,agglomerative,0.500632886357,0.247970435113
38,../datasets/embedding_results/dolphin_sparse_ua.txt,6.0,kmeans,0.522309244096,0.265930544482
39,../datasets/embedding_results/dolphin_sparse_ua.txt,6.0,agglomerative,0.522309244096,0.265930544482
40,../datasets/embedding_results/dolphin_sparse_ua.txt,7.0,kmeans,0.467149242514,0.244640013559
41,../datasets/embedding_results/dolphin_sparse_ua.txt,7.0,agglomerative,0.486689608797,0.254846104872
42,../datasets/embedding_results/dolphin_sparse_ua.txt,8.0,kmeans,0.492069142835,0.228705668248
43,../datasets/embedding_results/dolphin_sparse_ua.txt,8.0,agglomerative,0.479391637989,0.248973822888
44,../datasets/embedding_results/dolphin_sparse_ua.txt,9.0,kmeans,0.499367113643,0.26825772216
45,../datasets/embedding_results/dolphin_sparse_ua.txt,9.0,agglomerative,0.479391637989,0.248973822888
46,../datasets/embedding_results/dolphin_sparse_ua.txt,10.0,kmeans,0.442229342194,0.215150742473
47,../datasets/embedding_results/dolphin_sparse_ua.txt,10.0,agglomerative,0.424844745065,0.197798700173
48,../datasets/embedding_results/dolphin_sparse_ua.txt,20.0,kmeans,0.0319607610458,0.0416538283084
49,../datasets/embedding_results/dolphin_sparse_ua.txt,20.0,agglomerative,0.0322574265258,0.0440194365988
50,../datasets/embedding_results/dolphin_sparse_ua.txt,30.0,kmeans,0.0206479174083,0.0431513270808
51,../datasets/embedding_results/dolphin_sparse_ua.txt,30.0,agglomerative,0.0206479174083,0.0431513270808
52,../datasets/embedding_results/dolphin_sparse_ua.txt,40.0,kmeans,0.0204501404217,0.0400383161179
53,../datasets/embedding_results/dolphin_sparse_ua.txt,40.0,agglomerative,0.0204501404217,0.0400383161179
54,../datasets/embedding_results/dolphin_sparse_ua.txt,50.0,kmeans,0.0206479174083,0.0431513270808
55,../datasets/embedding_results/dolphin_sparse_ua.txt,50.0,agglomerative,0.0204501404217,0.0400383161179
