,embedding method,dimension,clustering method,modularity,permanence
0,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,1.0,kmeans,0.0951702859855,-0.424269643971
1,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,1.0,agglomerative,0.0863889877774,-0.337454582431
2,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,2.0,kmeans,0.128475930541,-0.433539971778
3,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,2.0,agglomerative,0.114493097583,-0.433550701693
4,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,3.0,kmeans,0.151497171789,-0.2799487742
5,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,3.0,agglomerative,0.155215379138,-0.430735667963
6,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,4.0,kmeans,0.273466239468,-0.0459216838558
7,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,4.0,agglomerative,0.257367192753,-0.114825727732
8,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,5.0,kmeans,0.18337882204,-0.301379668357
9,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,5.0,agglomerative,0.240793481271,-0.0278716645294
10,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,6.0,kmeans,0.250662552905,-0.261840943314
11,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,6.0,agglomerative,0.324275147344,-0.00935917572234
12,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,7.0,kmeans,0.274118903524,-0.27134406819
13,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,7.0,agglomerative,0.29984968949,-0.156594092403
14,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,8.0,kmeans,0.31527629445,-0.18796694836
15,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,8.0,agglomerative,0.331533562755,-0.115635787787
16,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,9.0,kmeans,0.303686563032,-0.247611823696
17,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,9.0,agglomerative,0.331533562755,-0.115635787787
18,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,10.0,kmeans,0.315750959218,-0.142591715117
19,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,10.0,agglomerative,0.320833827776,-0.166094891422
20,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,11.0,kmeans,0.338989755152,-0.117674890724
21,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,11.0,agglomerative,0.339246865235,-0.109390068804
22,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,12.0,kmeans,0.337961314821,-0.10691713165
23,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,12.0,agglomerative,0.339246865235,-0.109390068804
24,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,13.0,kmeans,0.347019500811,-0.102521950652
25,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,13.0,agglomerative,0.322752264546,-0.114341666254
26,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,20.0,kmeans,0.331474229659,-0.183448127777
27,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,20.0,agglomerative,0.320398718405,-0.158434350942
28,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,30.0,kmeans,0.368300304577,-0.0203534433828
29,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,30.0,agglomerative,0.334539772952,-0.0894466364127
30,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,40.0,kmeans,0.329318460504,-0.18627506921
31,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,40.0,agglomerative,0.274217792018,-0.128339943962
32,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,50.0,kmeans,0.279953324631,-0.183726725783
33,../datasets/embedding_results/others_embedding/deepautoencoder_dolphin.txt,50.0,agglomerative,0.287785293303,-0.220059134029
34,../datasets/embedding_results/others_embedding/isomap_dolphin.txt,1.0,kmeans,0.212966259246,-0.22941161028
35,../datasets/embedding_results/others_embedding/isomap_dolphin.txt,1.0,agglomerative,0.210672046201,-0.211389938731
36,../datasets/embedding_results/others_embedding/isomap_dolphin.txt,2.0,kmeans,0.314860962778,-0.125081722532
37,../datasets/embedding_results/others_embedding/isomap_dolphin.txt,2.0,agglomerative,0.309125430165,-0.12052160523
38,../datasets/embedding_results/others_embedding/isomap_dolphin.txt,3.0,kmeans,0.320952493968,-0.127482880312
39,../datasets/embedding_results/others_embedding/isomap_dolphin.txt,3.0,agglomerative,0.325402476168,-0.0911244149538
