,embedding method,dimension,clustering method,modularity,permanence
0,../datasets/embedding_results/enronemail_sparse_nb.txt,1.0,kmeans,0.0295651964228,-0.687703146844
1,../datasets/embedding_results/enronemail_sparse_nb.txt,1.0,agglomerative,0.0296524789555,-0.689254115987
2,../datasets/embedding_results/enronemail_sparse_nb.txt,2.0,kmeans,0.0441764833829,-0.620603012827
3,../datasets/embedding_results/enronemail_sparse_nb.txt,2.0,agglomerative,0.0443514841131,-0.6229625735
4,../datasets/embedding_results/enronemail_sparse_nb.txt,3.0,kmeans,0.0575360857166,-0.573112788383
5,../datasets/embedding_results/enronemail_sparse_nb.txt,3.0,agglomerative,0.0570966285844,-0.577130429624
6,../datasets/embedding_results/enronemail_sparse_nb.txt,4.0,kmeans,0.0733247481114,-0.474598565877
7,../datasets/embedding_results/enronemail_sparse_nb.txt,4.0,agglomerative,0.0720794938196,-0.488156395155
8,../datasets/embedding_results/enronemail_sparse_nb.txt,5.0,kmeans,0.0594049235081,-0.55219116307
9,../datasets/embedding_results/enronemail_sparse_nb.txt,5.0,agglomerative,0.0601022498179,-0.55321930934
10,../datasets/embedding_results/enronemail_sparse_nb.txt,6.0,kmeans,0.0639189444947,-0.53995709559
11,../datasets/embedding_results/enronemail_sparse_nb.txt,6.0,agglomerative,0.0652464911704,-0.536382508526
12,../datasets/embedding_results/enronemail_sparse_nb.txt,7.0,kmeans,0.0725691601309,-0.499275949051
13,../datasets/embedding_results/enronemail_sparse_nb.txt,7.0,agglomerative,0.0731636807698,-0.506557630705
14,../datasets/embedding_results/enronemail_sparse_nb.txt,8.0,kmeans,0.079650442761,-0.459481011779
15,../datasets/embedding_results/enronemail_sparse_nb.txt,8.0,agglomerative,0.0814755807932,-0.467071195624
16,../datasets/embedding_results/enronemail_sparse_nb.txt,9.0,kmeans,0.0892381770829,-0.391019793615
17,../datasets/embedding_results/enronemail_sparse_nb.txt,9.0,agglomerative,0.0890856635685,-0.414537713023
18,../datasets/embedding_results/enronemail_sparse_nb.txt,10.0,kmeans,0.0982371793044,-0.334060546688
19,../datasets/embedding_results/enronemail_sparse_nb.txt,10.0,agglomerative,0.0970910721672,-0.361321489656
20,../datasets/embedding_results/enronemail_sparse_nb.txt,20.0,kmeans,0.145033618964,-0.08397846779
21,../datasets/embedding_results/enronemail_sparse_nb.txt,20.0,agglomerative,0.141889137148,-0.132971694982
22,../datasets/embedding_results/enronemail_sparse_nb.txt,30.0,kmeans,0.161668247496,-0.0182994933073
23,../datasets/embedding_results/enronemail_sparse_nb.txt,30.0,agglomerative,0.160773215925,-0.0394125128056
24,../datasets/embedding_results/enronemail_sparse_nb.txt,40.0,kmeans,0.163370321538,-0.0294570114562
25,../datasets/embedding_results/enronemail_sparse_nb.txt,40.0,agglomerative,0.163742820038,-0.0503296783527
26,../datasets/embedding_results/enronemail_sparse_nb.txt,50.0,kmeans,0.171663111941,-0.0114114167016
27,../datasets/embedding_results/enronemail_sparse_nb.txt,50.0,agglomerative,0.171180219242,-0.017555379772
28,../datasets/embedding_results/enronemail_sparse_nb.txt,100.0,kmeans,0.196993600649,0.0800231642786
