,embedding method,dimension,clustering method,modularity,permanence
0,../datasets/embedding_results/hepth_sparse_nb.txt,1.0,kmeans,0.0809577020573,-0.688913329098
1,../datasets/embedding_results/hepth_sparse_nb.txt,1.0,agglomerative,0.0785929377152,-0.695650611208
2,../datasets/embedding_results/hepth_sparse_nb.txt,2.0,kmeans,0.174101116578,-0.351366628774
3,../datasets/embedding_results/hepth_sparse_nb.txt,2.0,agglomerative,0.168735856423,-0.369639896176
4,../datasets/embedding_results/hepth_sparse_nb.txt,3.0,kmeans,0.275387875836,-0.0603899858881
5,../datasets/embedding_results/hepth_sparse_nb.txt,3.0,agglomerative,0.277250710047,-0.0452241480861
6,../datasets/embedding_results/hepth_sparse_nb.txt,4.0,kmeans,0.312433273624,0.0371172874073
7,../datasets/embedding_results/hepth_sparse_nb.txt,4.0,agglomerative,0.317758320084,0.0729919101783
8,../datasets/embedding_results/hepth_sparse_nb.txt,5.0,kmeans,0.342162157297,0.0900506003516
9,../datasets/embedding_results/hepth_sparse_nb.txt,5.0,agglomerative,0.349520625616,0.127988370407
10,../datasets/embedding_results/hepth_sparse_nb.txt,6.0,kmeans,0.368528271688,0.12885566635
11,../datasets/embedding_results/hepth_sparse_nb.txt,6.0,agglomerative,0.379218590491,0.177740432737
12,../datasets/embedding_results/hepth_sparse_nb.txt,7.0,kmeans,0.389832747041,0.151508687088
13,../datasets/embedding_results/hepth_sparse_nb.txt,7.0,agglomerative,0.392230336452,0.202229282975
14,../datasets/embedding_results/hepth_sparse_nb.txt,8.0,kmeans,0.39910199317,0.178297412877
15,../datasets/embedding_results/hepth_sparse_nb.txt,8.0,agglomerative,0.412501809819,0.227808730376
16,../datasets/embedding_results/hepth_sparse_nb.txt,9.0,kmeans,0.372684181144,0.113978252231
17,../datasets/embedding_results/hepth_sparse_nb.txt,9.0,agglomerative,0.386978311692,0.178925290633
18,../datasets/embedding_results/hepth_sparse_nb.txt,10.0,kmeans,0.373728525683,0.12999139664
19,../datasets/embedding_results/hepth_sparse_nb.txt,10.0,agglomerative,0.396291229779,0.197060239923
20,../datasets/embedding_results/hepth_sparse_nb.txt,20.0,kmeans,0.45367499998,0.233129061567
21,../datasets/embedding_results/hepth_sparse_nb.txt,20.0,agglomerative,0.466449537144,0.284339943359
22,../datasets/embedding_results/hepth_sparse_nb.txt,30.0,kmeans,0.485971790128,0.262422853867
23,../datasets/embedding_results/hepth_sparse_nb.txt,30.0,agglomerative,0.506975937678,0.304870553104
24,../datasets/embedding_results/hepth_sparse_nb.txt,40.0,kmeans,0.497634239456,0.27925111511
25,../datasets/embedding_results/hepth_sparse_nb.txt,40.0,agglomerative,0.524169392752,0.320263657964
26,../datasets/embedding_results/hepth_sparse_nb.txt,50.0,kmeans,0.527922726475,0.302497510553
27,../datasets/embedding_results/hepth_sparse_nb.txt,50.0,agglomerative,0.552474276089,0.336763039735
28,../datasets/embedding_results/hepth_sparse_nb.txt,100.0,kmeans,0.568050116797,0.324640843058
29,../datasets/embedding_results/hepth_sparse_nb.txt,100.0,agglomerative,0.579813056486,0.35928716896
30,../datasets/embedding_results/hepth_sparse_nb.txt,150.0,kmeans,0.593422023352,0.345647656064
31,../datasets/embedding_results/hepth_sparse_nb.txt,150.0,agglomerative,0.604438460675,0.395290794555
32,../datasets/embedding_results/hepth_sparse_nb.txt,200.0,kmeans,0.619681168828,0.383244318826
33,../datasets/embedding_results/hepth_sparse_nb.txt,200.0,agglomerative,0.623683988345,0.410910204505
34,../datasets/embedding_results/hepth_sparse_nb.txt,250.0,kmeans,0.625467963412,0.399104298123
35,../datasets/embedding_results/hepth_sparse_nb.txt,250.0,agglomerative,0.633004025289,0.415490889894
36,../datasets/embedding_results/hepth_sparse_nb.txt,300.0,kmeans,0.638753645974,0.411901978926
37,../datasets/embedding_results/hepth_sparse_nb.txt,300.0,agglomerative,0.635031604828,0.435355094478
38,../datasets/embedding_results/hepth_sparse_ua.txt,1.0,kmeans,0.0779842320582,-0.708489658937
39,../datasets/embedding_results/hepth_sparse_ua.txt,1.0,agglomerative,0.078239221337,-0.707409897676
40,../datasets/embedding_results/hepth_sparse_ua.txt,2.0,kmeans,0.168979402391,-0.277082149929
41,../datasets/embedding_results/hepth_sparse_ua.txt,2.0,agglomerative,0.167615831481,-0.283854266413
42,../datasets/embedding_results/hepth_sparse_ua.txt,3.0,kmeans,0.15883651638,-0.353561964659
43,../datasets/embedding_results/hepth_sparse_ua.txt,3.0,agglomerative,0.161013824287,-0.3459390226
44,../datasets/embedding_results/hepth_sparse_ua.txt,4.0,kmeans,0.202763159931,-0.198957155507
45,../datasets/embedding_results/hepth_sparse_ua.txt,4.0,agglomerative,0.211266697979,-0.161966984397
46,../datasets/embedding_results/hepth_sparse_ua.txt,5.0,kmeans,0.226235418338,-0.150247496201
47,../datasets/embedding_results/hepth_sparse_ua.txt,5.0,agglomerative,0.241142926775,-0.0960213145608
48,../datasets/embedding_results/hepth_sparse_ua.txt,6.0,kmeans,0.201463508401,-0.240373467185
49,../datasets/embedding_results/hepth_sparse_ua.txt,6.0,agglomerative,0.214975769822,-0.185160324823
50,../datasets/embedding_results/hepth_sparse_ua.txt,7.0,kmeans,0.195359318148,-0.25951566362
51,../datasets/embedding_results/hepth_sparse_ua.txt,7.0,agglomerative,0.205603286876,-0.216876072999
52,../datasets/embedding_results/hepth_sparse_ua.txt,8.0,kmeans,0.208479910856,-0.217445865611
53,../datasets/embedding_results/hepth_sparse_ua.txt,8.0,agglomerative,0.232848907035,-0.133820761488
54,../datasets/embedding_results/hepth_sparse_ua.txt,9.0,kmeans,0.222776882121,-0.179378483566
55,../datasets/embedding_results/hepth_sparse_ua.txt,9.0,agglomerative,0.238409162575,-0.113006048746
56,../datasets/embedding_results/hepth_sparse_ua.txt,10.0,kmeans,0.229453182675,-0.171560823704
57,../datasets/embedding_results/hepth_sparse_ua.txt,10.0,agglomerative,0.251292573302,-0.0841744376879
58,../datasets/embedding_results/hepth_sparse_ua.txt,20.0,kmeans,0.339700666383,0.0732384656058
59,../datasets/embedding_results/hepth_sparse_ua.txt,20.0,agglomerative,0.375185569666,0.157487064749
60,../datasets/embedding_results/hepth_sparse_ua.txt,30.0,kmeans,0.412633510686,0.176886507707
61,../datasets/embedding_results/hepth_sparse_ua.txt,30.0,agglomerative,0.460424584691,0.258663030421
62,../datasets/embedding_results/hepth_sparse_ua.txt,40.0,kmeans,0.468447829509,0.239050145619
63,../datasets/embedding_results/hepth_sparse_ua.txt,40.0,agglomerative,0.490472495656,0.302561018896
64,../datasets/embedding_results/hepth_sparse_ua.txt,50.0,kmeans,0.486092938251,0.244542553459
65,../datasets/embedding_results/hepth_sparse_ua.txt,50.0,agglomerative,0.515103105931,0.311757338392
66,../datasets/embedding_results/hepth_sparse_ua.txt,100.0,kmeans,0.528991967103,0.287275310091
67,../datasets/embedding_results/hepth_sparse_ua.txt,100.0,agglomerative,0.553913838613,0.337134855732
68,../datasets/embedding_results/hepth_sparse_ua.txt,150.0,kmeans,0.564146438785,0.328649826468
69,../datasets/embedding_results/hepth_sparse_ua.txt,150.0,agglomerative,0.573603358303,0.373433918671
70,../datasets/embedding_results/hepth_sparse_ua.txt,200.0,kmeans,0.596122555389,0.355463524376
71,../datasets/embedding_results/hepth_sparse_ua.txt,200.0,agglomerative,0.596937275586,0.393933548795
72,../datasets/embedding_results/hepth_sparse_ua.txt,250.0,kmeans,0.604628832584,0.367377466353
73,../datasets/embedding_results/hepth_sparse_ua.txt,250.0,agglomerative,0.615614884151,0.415618707231
74,../datasets/embedding_results/hepth_sparse_ua.txt,300.0,kmeans,0.609245784049,0.377180021982
75,../datasets/embedding_results/hepth_sparse_ua.txt,300.0,agglomerative,0.614161456069,0.416032079484
