,embedding method,dimension,clustering method,modularity,permanence
0,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,1.0,kmeans,-0.00747863247863,-0.0744373417816
1,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,1.0,agglomerative,-0.00747863247863,-0.0744373417816
2,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,2.0,kmeans,-0.047090729783,-0.223866616764
3,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,2.0,agglomerative,-0.0495562130178,-0.18613399853
4,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,3.0,kmeans,-0.0382971729126,-0.287748934637
5,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,3.0,agglomerative,-0.0382971729126,-0.287748934637
6,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,4.0,kmeans,0.0663214990138,-0.0744271665361
7,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,4.0,agglomerative,-0.0382971729126,-0.287748934637
8,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,5.0,kmeans,0.00189020381328,-0.0825773458172
9,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,5.0,agglomerative,-0.0382971729126,-0.287748934637
10,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,6.0,kmeans,-0.0382971729126,-0.287748934637
11,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,6.0,agglomerative,-0.0382971729126,-0.287748934637
12,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,7.0,kmeans,-0.0799638395792,-0.309748124307
13,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,7.0,agglomerative,-0.0631985535832,-0.353999654757
14,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,8.0,kmeans,-0.0175049309665,-0.328064514685
15,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,8.0,agglomerative,-0.0631985535832,-0.353999654757
16,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,9.0,kmeans,-0.0175049309665,-0.328064514685
17,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,9.0,agglomerative,-0.0631985535832,-0.353999654757
18,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,10.0,kmeans,-0.0631985535832,-0.353999654757
19,../datasets/embedding_results/others_embedding/deepautoencoder_karateTest.txt,10.0,agglomerative,-0.0631985535832,-0.353999654757
