,embedding method,dimension,clustering method,modularity,permanence
0,../datasets/embedding_results/blog_sparse_nb.txt,1.0,kmeans,0.00278919189354,0.0
1,../datasets/embedding_results/blog_sparse_nb.txt,1.0,agglomerative,0.00278919189354,0.0
2,../datasets/embedding_results/blog_sparse_nb.txt,2.0,kmeans,0.41493521448,0.0980412397924
3,../datasets/embedding_results/blog_sparse_nb.txt,2.0,agglomerative,0.40684343028,0.0981662689143
4,../datasets/embedding_results/blog_sparse_nb.txt,3.0,kmeans,0.427972509491,0.13672741642
5,../datasets/embedding_results/blog_sparse_nb.txt,3.0,agglomerative,0.427491334446,0.137550647337
6,../datasets/embedding_results/blog_sparse_nb.txt,4.0,kmeans,0.428067436142,0.13714600535
7,../datasets/embedding_results/blog_sparse_nb.txt,4.0,agglomerative,0.427832962643,0.135871783883
8,../datasets/embedding_results/blog_sparse_nb.txt,5.0,kmeans,0.428211675897,0.137719596937
9,../datasets/embedding_results/blog_sparse_nb.txt,5.0,agglomerative,0.427976771051,0.135998561597
10,../datasets/embedding_results/blog_sparse_nb.txt,6.0,kmeans,0.428317332515,0.137508236666
11,../datasets/embedding_results/blog_sparse_nb.txt,6.0,agglomerative,0.427246104133,0.130911459398
12,../datasets/embedding_results/blog_sparse_nb.txt,7.0,kmeans,0.00434177251312,0.0
13,../datasets/embedding_results/blog_sparse_nb.txt,7.0,agglomerative,0.0043416132192,0.0
14,../datasets/embedding_results/blog_sparse_nb.txt,8.0,kmeans,0.00350721373818,0.0
15,../datasets/embedding_results/blog_sparse_nb.txt,8.0,agglomerative,0.00350721373818,0.0
16,../datasets/embedding_results/blog_sparse_nb.txt,9.0,kmeans,0.00350721373818,0.0
17,../datasets/embedding_results/blog_sparse_nb.txt,9.0,agglomerative,0.00350721373818,0.0
18,../datasets/embedding_results/blog_sparse_nb.txt,10.0,kmeans,0.00350721373818,0.0
19,../datasets/embedding_results/blog_sparse_nb.txt,10.0,agglomerative,0.00350721373818,0.0
20,../datasets/embedding_results/blog_sparse_nb.txt,20.0,kmeans,0.00350721373818,0.0
21,../datasets/embedding_results/blog_sparse_nb.txt,20.0,agglomerative,0.00350721373818,0.0
22,../datasets/embedding_results/blog_sparse_nb.txt,30.0,kmeans,0.00374592195021,0.0
23,../datasets/embedding_results/blog_sparse_nb.txt,30.0,agglomerative,0.00350721373818,0.0
24,../datasets/embedding_results/blog_sparse_nb.txt,40.0,kmeans,0.00338759831854,0.0
25,../datasets/embedding_results/blog_sparse_nb.txt,40.0,agglomerative,0.00350721373818,0.0
26,../datasets/embedding_results/blog_sparse_nb.txt,50.0,kmeans,0.00326812429462,0.0
27,../datasets/embedding_results/blog_sparse_nb.txt,50.0,agglomerative,0.00350721373818,0.0
28,../datasets/embedding_results/blog_sparse_nb.txt,100.0,kmeans,0.0032653805015,0.0
29,../datasets/embedding_results/blog_sparse_nb.txt,100.0,agglomerative,0.00350721373818,0.0
30,../datasets/embedding_results/blog_sparse_ua.txt,1.0,kmeans,0.25157348929,-0.190110989572
31,../datasets/embedding_results/blog_sparse_ua.txt,1.0,agglomerative,0.279984266127,-0.174624598313
32,../datasets/embedding_results/blog_sparse_ua.txt,2.0,kmeans,0.427610554316,0.135869357367
33,../datasets/embedding_results/blog_sparse_ua.txt,2.0,agglomerative,0.427179943459,0.131873839941
34,../datasets/embedding_results/blog_sparse_ua.txt,3.0,kmeans,0.427707079276,0.133844029106
35,../datasets/embedding_results/blog_sparse_ua.txt,3.0,agglomerative,0.424681788727,0.125941611069
36,../datasets/embedding_results/blog_sparse_ua.txt,4.0,kmeans,0.413681265226,0.0439038731822
37,../datasets/embedding_results/blog_sparse_ua.txt,4.0,agglomerative,0.413920839711,0.0483698640045
38,../datasets/embedding_results/blog_sparse_ua.txt,5.0,kmeans,0.0568720122634,0.0384074113045
39,../datasets/embedding_results/blog_sparse_ua.txt,5.0,agglomerative,0.0977659828759,0.0457243564217
40,../datasets/embedding_results/blog_sparse_ua.txt,6.0,kmeans,0.00906576095696,0.0
41,../datasets/embedding_results/blog_sparse_ua.txt,6.0,agglomerative,0.00927991284696,0.0
42,../datasets/embedding_results/blog_sparse_ua.txt,7.0,kmeans,0.00415961722436,0.0
43,../datasets/embedding_results/blog_sparse_ua.txt,7.0,agglomerative,0.00415961722436,0.0
44,../datasets/embedding_results/blog_sparse_ua.txt,8.0,kmeans,0.00445803739087,0.0
45,../datasets/embedding_results/blog_sparse_ua.txt,8.0,agglomerative,0.00410179531915,0.0
46,../datasets/embedding_results/blog_sparse_ua.txt,9.0,kmeans,0.00445803739087,0.0
47,../datasets/embedding_results/blog_sparse_ua.txt,9.0,agglomerative,0.00374503777944,0.0
48,../datasets/embedding_results/blog_sparse_ua.txt,10.0,kmeans,0.00374503777944,0.0
49,../datasets/embedding_results/blog_sparse_ua.txt,10.0,agglomerative,0.00374503777944,0.0
50,../datasets/embedding_results/blog_sparse_ua.txt,20.0,kmeans,0.00350679134081,0.0
51,../datasets/embedding_results/blog_sparse_ua.txt,20.0,agglomerative,0.00350679134081,0.0
52,../datasets/embedding_results/blog_sparse_ua.txt,30.0,kmeans,0.00362625462581,0.0
