,embedding method,dimension,clustering method,modularity,permanence
0,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,1.0,kmeans,0.00851357124824,-0.464264927086
1,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,1.0,agglomerative,0.00447261189017,-0.430596950663
2,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,2.0,kmeans,0.0145309404574,-0.401221946305
3,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,2.0,agglomerative,0.0284343970841,-0.540253875492
4,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,3.0,kmeans,0.00643340019765,-0.342179307397
5,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,3.0,agglomerative,0.00380312099828,-0.369360944478
6,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,4.0,kmeans,0.0122471344956,-0.363505136345
7,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,4.0,agglomerative,0.0153958778369,-0.272214977095
8,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,5.0,kmeans,0.00787637943707,-0.328834231393
9,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,5.0,agglomerative,0.0105667357141,-0.331067658226
10,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,6.0,kmeans,0.00515404445702,-0.338967528992
11,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,6.0,agglomerative,0.000440130906531,-0.227251595592
12,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,7.0,kmeans,0.00312490294704,-0.298694000776
13,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,7.0,agglomerative,0.0052959914532,-0.282492232011
14,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,8.0,kmeans,0.0144611070743,-0.363001447733
15,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,8.0,agglomerative,-0.00181488223082,-0.298031411974
16,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,9.0,kmeans,0.0146702009347,-0.337831379599
17,../datasets/embedding_results/others_embedding/deepautoencoder_polblog.txt,9.0,agglomerative,0.00323498757844,-0.166140906577
